,lkid,ilid,growth_rate
0,LK201,IL001,0.24230965224644846
1,LK201,IL392,0.34007169486760186
2,LK202,IL002,0.2445764343478242
3,LK202,IL322,0.29100536185031095
4,LK203,IL003,-0.00917251624306833
5,LK203,IL386,0.061570394619776606
6,LK204,IL004,-0.02882695059810198
7,LK204,IL320,-0.11673156952273829
8,LK205,IL005,0.29371024696169407
9,LK205,IL215,0.20757136339054028
10,LK206,IL006,0.11859100567522529
11,LK206,IL281,0.030293816558748365
12,LK207,IL007,0.09478692055224251
13,LK207,IL226,0.04488631425932458
14,LK209,IL009,0.04738792676985315
15,LK209,IL283,0.028225169182231096
16,LK210,IL010,0.18747564244766662
17,LK210,IL259,0.33667116286844345
18,LK211,IL011,0.3483247328091739
19,LK211,IL236,0.29833285146085153
20,LK212,IL012,0.16898555839375237
21,LK212,IL248,0.15628994115637285
22,LK213,IL013,0.08103866052614862
23,LK213,IL361,0.10556072989542382
24,LK214,IL014,0.2033717211523018
25,LK214,IL289,0.2463877538290425
26,LK215,IL015,0.10816240496551303
27,LK215,IL223,-0.0012826404396222735
28,LK216,IL016,0.12321018606921919
29,LK216,IL284,0.05152260105553701
30,LK217,IL017,0.09377339115534068
31,LK217,IL304,0.22085468379355225
32,LK218,IL018,0.298343784631084
33,LK218,IL364,0.27930962233079265
34,LK219,IL019,0.09693531371517154
35,LK219,IL291,0.12104907275500039
36,LK220,IL020,0.17014446286875548
37,LK220,IL324,0.23772560845687019
38,LK221,IL021,0.11444952910695452
39,LK221,IL225,0.09457943810670284
40,LK222,IL022,0.07390836333659491
41,LK222,IL222,0.20601514859661457
42,LK223,IL023,0.10027053576937425
43,LK223,IL318,0.21012765166148828
44,LK224,IL024,0.02819632543743167
45,LK224,IL211,0.10386374379527283
46,LK225,IL025,0.191359525059156
47,LK225,IL214,0.2625549166704727
48,LK226,IL026,-0.01321097311235726
49,LK226,IL229,0.05971491134697251
50,LK227,IL027,0.1912341851869072
51,LK227,IL227,0.2427456227374269
52,LK228,IL028,-0.10053689184762704
53,LK228,IL205,0.4869596780241035
54,LK229,IL029,0.05245321267122165
55,LK229,IL261,0.17620168734209107
56,LK230,IL030,0.114799287834671
57,LK230,IL300,0.2910524567613258
58,LK231,IL031,0.08562456241537927
59,LK231,IL267,0.07639424149938875
60,LK232,IL032,0.16334380618353503
61,LK232,IL309,0.05829533222926585
62,LK233,IL033,0.21856761733192967
63,LK233,IL311,0.3119869819876341
64,LK234,IL034,0.004582057886871982
65,LK234,IL316,0.141450826058683
66,LK235,IL035,0.05735682882751993
67,LK235,IL365,0.08324158683597731
68,LK236,IL036,0.14881032457421842
69,LK236,IL255,0.1450473508659389
70,LK237,IL037,0.07938392785016632
71,LK237,IL335,0.09653006557530279
72,LK238,IL038,0.09277233419869069
73,LK238,IL209,0.1864850755405683
74,LK239,IL039,0.19150555944953668
75,LK239,IL299,0.30296067188525055
76,LK240,IL040,0.1226526406586566
77,LK240,IL272,0.27171257561833
78,LK241,IL041,0.08192943733098225
79,LK241,IL377,0.15794278297803782
80,LK242,IL042,0.16218466752327104
81,LK242,IL201,0.11637566191411212
82,LK243,IL043,0.12677987921414707
83,LK243,IL247,0.19602433526588325
84,LK244,IL044,0.10458604718024436
85,LK244,IL228,0.2552500450942728
86,LK245,IL045,0.18342703998305396
87,LK245,IL218,0.16529727561206772
88,LK246,IL046,0.12335579564283568
89,LK246,IL367,0.1576134902842865
90,LK247,IL047,0.1957680068648146
91,LK247,IL390,0.22304986795001014
92,LK248,IL048,0.13538801035107834
93,LK248,IL360,0.10847455362104841
94,LK249,IL049,0.20600648593572773
95,LK249,IL366,0.33364744319904727
96,LK250,IL050,0.17298191535872554
97,LK251,IL051,0.14474338170658468
98,LK251,IL206,0.2231249510332023
99,LK252,IL052,0.10524542179780698
100,LK252,IL372,0.1501360342569284
101,LK253,IL053,0.12772347773637382
102,LK253,IL357,0.1875378645830253
103,LK254,IL054,0.3082282245008646
104,LK254,IL202,0.19203923381598584
105,LK255,IL055,0.1303259937867809
106,LK255,IL307,0.0948233982130996
107,LK256,IL056,0.22606197355016938
