,lkid,ilid,growth_rate
0,LK201,IL001,0.41668166781434557
1,LK201,IL392,0.2806511332431619
2,LK202,IL002,0.43820043874946535
3,LK202,IL322,0.21697777062670656
4,LK203,IL003,0.3580871108571911
5,LK203,IL386,0.21213572608305867
6,LK204,IL004,0.3910681548430882
7,LK204,IL320,0.22387701610390565
8,LK205,IL005,0.36815516283218286
9,LK205,IL215,0.09812722542827607
10,LK206,IL006,0.35152327837932096
11,LK206,IL281,0.14674606836486337
12,LK207,IL007,0.306913634665933
13,LK207,IL226,0.10802797526884036
14,LK208,IL384,0.288942544980372
15,LK209,IL009,0.3972003884779637
16,LK209,IL283,0.2750716306811818
17,LK210,IL010,0.3588884515809655
18,LK210,IL259,0.10060059552276135
19,LK211,IL011,0.3610778163975832
20,LK211,IL236,0.21451994544614097
21,LK212,IL012,0.3236116593919036
22,LK212,IL248,0.08674372532125892
23,LK213,IL013,0.31948390544672484
24,LK213,IL361,0.15710878399792894
25,LK214,IL014,0.3799857966417879
26,LK214,IL289,0.21622093424441066
27,LK215,IL015,0.26643008496870596
28,LK215,IL223,0.09026122473493545
29,LK216,IL016,0.28408800410636925
30,LK216,IL284,0.09653615960052113
31,LK217,IL017,0.2805142454381223
32,LK217,IL304,0.05231646388061815
33,LK218,IL018,0.28803477450276127
34,LK218,IL364,0.07949901295707446
35,LK219,IL019,0.2804288793287487
36,LK219,IL291,0.0690143169817588
37,LK220,IL020,0.2619825688374015
38,LK220,IL324,0.10089076206153014
39,LK221,IL021,0.24855159581335268
40,LK221,IL225,0.14780806281119618
41,LK222,IL022,0.33993601178120875
42,LK222,IL222,0.16296231844965853
43,LK223,IL023,0.3763527949969382
44,LK223,IL318,0.1396001533004712
45,LK224,IL024,0.34967146621686795
46,LK224,IL211,0.1085003794543977
47,LK225,IL025,0.3616017202634341
48,LK225,IL214,0.07832273093056494
49,LK226,IL026,0.3391441947964634
50,LK226,IL229,0.11222401213251809
51,LK227,IL027,0.33988063752927183
52,LK227,IL227,0.08720041285296491
53,LK228,IL028,0.3743741740564973
54,LK228,IL205,0.1076059926490009
55,LK229,IL029,0.45893815087268736
56,LK229,IL261,0.24254235202380148
57,LK230,IL030,0.3932108088266495
58,LK230,IL300,0.13232590151039242
59,LK231,IL031,0.38565864011232
60,LK231,IL267,0.11193434802656681
61,LK232,IL032,0.36459877068353364
62,LK232,IL309,0.22841266329134918
63,LK233,IL033,0.34463868706764494
64,LK233,IL311,0.2452629242695208
65,LK234,IL034,0.36067387623349145
66,LK234,IL316,0.0935888526371441
67,LK235,IL035,0.3211955937272646
68,LK235,IL365,0.08297330306959567
69,LK236,IL036,0.2975039645068285
70,LK236,IL255,0.10923014728470226
71,LK237,IL037,0.3321276552397011
72,LK237,IL335,0.23595317510392025
73,LK238,IL038,0.34368695744449534
74,LK238,IL209,0.12777235256164826
75,LK239,IL039,0.29978612590940334
76,LK239,IL299,0.10618798743456152
77,LK240,IL040,0.3142266229936766
78,LK240,IL272,0.05980146556316788
79,LK241,IL041,0.2641819246627985
80,LK241,IL377,0.20435507464801228
81,LK242,IL042,0.3029260471734635
82,LK242,IL201,0.10628543919505465
83,LK243,IL043,0.3507498453082854
84,LK243,IL247,0.09696753999325254
85,LK244,IL044,0.2682696700268159
86,LK244,IL228,0.07921878365754523
87,LK245,IL045,0.269520023730031
88,LK245,IL218,0.09326791639685719
89,LK246,IL046,0.2694206416955435
90,LK246,IL367,0.07534903997124835
91,LK247,IL047,0.2554012191937406
92,LK247,IL390,0.1953956221050746
93,LK248,IL048,0.272948589848309
94,LK248,IL360,0.15246355010137996
95,LK249,IL049,0.23921572783679337
96,LK249,IL366,0.08842256115614511
97,LK250,IL050,0.287400984306599
98,LK251,IL051,0.3108336971567001
99,LK251,IL206,0.18888113321573125
100,LK252,IL052,0.33259166848604804
101,LK252,IL372,0.2281557476158477
102,LK253,IL053,0.3327992149995892
103,LK253,IL357,0.23793052865530062
104,LK254,IL054,0.24878895176213084
105,LK254,IL202,0.12679746254183405
106,LK255,IL055,0.2432982930327297
107,LK255,IL307,0.11298805303443316
108,LK256,IL056,0.3457802825129722
109,LK256,IL297,0.17762590790182015
110,LK257,IL057,0.26540930229050586
111,LK257,IL339,0.17829989189717432
112,LK258,IL058,0.2966369074515657
113,LK258,IL315,0.061178091368750055
114,LK259,IL059,0.41094842130049836
115,LK259,IL257,0.21130241331723382
116,LK260,IL060,0.3991950715557455
117,LK261,IL061,0.47398082002287795
118,LK261,IL207,0.2257539237545541
119,LK262,IL062,0.4169549224787835
120,LK263,IL063,0.3244308060617884
121,LK263,IL328,0.12564503519340708
122,LK264,IL064,0.32154089439118183
123,LK264,IL321,0.12478913753425373
124,LK265,IL065,0.28704608576767987
125,LK265,IL337,0.1009304454051418
126,LK266,IL066,0.4101179207090877
127,LK266,IL389,0.23816386032811515
128,LK267,IL067,0.36293363811234014
129,LK267,IL395,0.20175926584112966
130,LK268,IL068,0.3500628484410101
131,LK268,IL352,0.09545883280269243
132,LK269,IL069,0.35381205675638283
133,LK269,IL210,0.10890068843071277
134,LK270,IL070,0.3834432697988146
135,LK270,IL232,0.12989406419301702
136,LK271,IL071,0.3429376916753026
137,LK271,IL325,0.09664805964534606
138,LK272,IL072,0.31001907119679784
139,LK272,IL292,0.08320022553882707
140,LK273,IL073,0.3629158050371234
141,LK273,IL258,0.1159077117403828
142,LK274,IL074,0.3400829859921549
143,LK274,IL358,0.10355442018744039
144,LK275,IL075,0.3280253095525529
145,LK275,IL265,0.10285310852872158
146,LK276,IL076,0.31218486633165476
147,LK276,IL269,0.17329908726380272
148,LK277,IL077,0.31898607892279507
149,LK277,IL378,0.11600607202824165
150,LK278,IL078,0.3551149924058775
151,LK278,IL246,0.07515316987263795
152,LK279,IL079,0.3555481078009084
153,LK279,IL379,0.29997781304417453
154,LK280,IL080,0.38591012379919454
155,LK280,IL303,0.07373020589225758
156,LK281,IL081,0.37226124922804554
157,LK281,IL221,0.085084696350714
158,LK282,IL082,0.34474842029016683
159,LK282,IL353,0.08215769104452628
160,LK283,IL083,0.40950475671509345
161,LK283,IL400,0.2370574084522908
162,LK284,IL084,0.38485515776894924
163,LK284,IL348,0.08284503539381974
164,LK285,IL085,0.36283371151635924
165,LK285,IL270,0.11652274277301214
166,LK286,IL086,0.3712915645914142
167,LK286,IL290,0.08724849543151972
168,LK287,IL087,0.3107507829996994
169,LK287,IL305,0.1316001487348147
170,LK288,IL088,0.2588961475232566
171,LK288,IL204,0.10651276320405537
172,LK289,IL089,0.36566097797421315
173,LK289,IL239,0.15783733125059915
174,LK290,IL090,0.31550460678876513
175,LK290,IL338,0.18082998258564392
176,LK291,IL091,0.3681782234213946
177,LK291,IL314,0.17083064828270084
