,Height_rate
IL001,0.1077183010441534
IL002,0.41912490590571116
IL003,0.07771307517701836
IL004,0.2385811578904289
IL005,0.17512068959100055
IL006,0.1507085496125711
IL007,-0.00898839033864548
IL009,0.3463641741612688
IL010,0.7024256098938703
IL011,0.5380189988946507
IL012,0.055170686668652526
IL013,0.08725913417819528
IL014,0.19859784113736342
IL015,0.013424617892244176
IL016,0.0845601108037456
IL017,0.03773432818057625
IL018,0.07176083468545079
IL019,0.03516507306913014
IL020,0.027557605092529316
IL021,0.1467656442134233
IL022,0.2416181897817916
IL023,0.1825219753648313
IL024,0.052822922316305684
IL025,0.14541176984116813
IL026,0.10054541079268138
IL027,0.10117447489824563
IL028,0.2782546120636489
IL029,0.11675751764002663
IL030,0.2754222009963362
IL031,0.1993777203134575
IL032,0.2116307824395201
IL033,0.19106878557889484
IL034,0.22719413805955216
IL035,0.11347858187754532
IL036,0.12130243247061219
IL037,0.24230636271061168
IL038,0.20930998113509047
IL039,0.49753729438237443
IL040,0.12050893927033945
IL041,0.24428100663594543
IL042,0.10411684346290799
IL043,0.2842072059505803
IL044,0.07740428009321011
IL045,0.032447017795219565
IL046,0.058105538107423714
IL047,0.096368339289452
IL048,0.14449792243226678
IL049,0.036053469440778634
IL050,0.1782944676014174
IL051,0.1526530560753386
IL052,0.23740620100716778
IL053,0.15583448569488345
IL054,0.056660593948694805
IL055,0.043864021273849314
IL056,0.24425594093510583
IL057,0.23421007485609316
IL058,0.13933755157297995
IL059,0.28806502587093935
IL060,0.29815431853988844
IL061,0.26175495470877863
IL062,0.018306549734536638
IL063,0.020518777129090726
IL064,0.11820895388095187
IL065,-0.015790219117942875
IL066,0.15093823578071017
IL067,0.1385274385163716
IL068,0.04269112360522445
IL069,0.02366799578495755
IL070,0.06315884267123814
IL071,0.08669519641959861
IL072,-0.08046978192965641
IL073,-0.12159707024864813
IL074,-0.07617791558425843
IL075,-0.05432289691534753
IL076,-0.1115438492338408
IL077,-0.0054383874846422545
IL078,0.05561973698017866
IL079,-0.022897308013719316
IL080,0.04809462228217676
IL081,-0.05565400374267214
IL082,0.07376209657047601
IL083,0.07320873578822353
IL084,0.050526987977692776
IL085,-0.00880369758426703
IL086,0.10574570281112372
IL087,0.025598548053817942
IL088,-0.023231462651953045
IL089,0.22140517241627578
IL090,0.06119981825935843
IL091,0.029161909057568103
IL092,0.039793441517554935
IL093,0.0651312630255419
IL094,0.37253984490994
IL095,0.11169317764966134
IL096,0.2870684281890114
IL097,0.3885649370255637
IL098,-0.06589762683814428
IL099,0.09779465748739813
IL100,-0.028305198690514236
IL101,0.0979787312599948
IL102,0.18769310548918228
IL103,-0.1739315564329882
IL104,0.07137246640926373
IL105,0.06080036725426655
IL106,-0.06664512884950899
IL107,0.09445500481359302
IL108,0.0227279690238151
IL109,0.01815175126541332
IL110,-0.13518111107700792
IL111,-0.09201687067027906
IL112,-0.1448382477824247
IL113,0.015547219027606139
IL114,-0.12475502670731184
IL115,0.3047521469626668
IL116,-0.1347434682962709
IL117,-0.09138691284164141
IL118,-0.09572357139252803
IL119,0.0023899580681295317
IL120,-0.06386927414796288
IL121,-0.034504332602944304
IL122,0.0010932577322847537
IL123,0.026452503685814643
IL124,0.019150641754305562
IL125,-0.08296811756808169
IL126,0.029676439347103838
IL127,-0.03911654130175505
IL128,0.03430601821281692
IL129,0.02289986589036004
IL130,0.17027792719742016
IL131,0.059064601158122794
IL132,-0.01339410168291838
IL133,-0.03172004053070833
IL134,-0.10357079669908263
IL135,0.04518268093212141
IL136,0.01239313753717507
IL137,0.09899304717707764
IL138,-0.048114836843927776
IL139,-0.08949720503462684
IL140,-0.019574991450373284
IL141,-0.07519841612401462
IL142,-0.0509106098811052
IL143,0.11787991488121195
IL144,0.20952846308912426
IL145,0.10801195125126406
IL146,0.20123654160966406
IL147,0.12589312637979538
IL148,-0.02753998790127608
IL149,0.03139525540750373
IL150,-0.026112380079963072
IL151,-0.003419217584745035
IL152,-0.00842201588704241
IL153,0.056844069025026485
IL154,0.21437259191364996
IL155,-0.04938543921669565
IL156,0.08249722731580023
IL157,-0.033873105755697845
IL158,-0.01929765985057191
IL159,0.030790944029496857
IL160,-0.02994748726276493
IL161,-0.045927890560993626
IL162,0.017333692859158926
IL163,0.06174290211126322
IL164,-0.033096448465841054
IL165,0.07396739741421118
IL166,0.10936790209727701
IL167,0.017182623199785377
IL168,0.24334733841443698
IL169,-0.02384920585855465
IL170,0.010428163499695008
IL171,0.11273820441396318
IL172,-0.03255855297452894
IL173,-0.07057163176989927
IL174,0.02189016749270035
IL175,-0.04902559053583227
IL176,0.19961612135464724
IL177,-0.08110462485508298
IL178,0.11589419984078225
IL179,0.15113851649709367
IL180,-0.10262938557294156
IL181,-0.026992046938385767
IL182,0.1190076129793904
IL183,0.024466903206368785
IL184,0.004921258893503254
IL185,0.04234461606922003
IL186,-0.018356028461546575
IL187,0.07833992169234132
IL188,-0.004180366930432502
IL189,0.04883666668495186
IL190,-0.02148625757501105
IL191,0.08765184363344046
IL192,-0.015455614030628062
IL193,-0.03579566421992274
IL194,0.00296105608577058
IL195,0.04228338235382687
IL196,0.00799623561540868
IL197,-0.01061436763676936
IL198,0.00163267839988634
IL199,0.14821062473991797
IL200,0.09840184191344131
IL201,-0.21757721090881188
IL202,-0.09665162177252638
IL203,-0.03567437641310466
IL204,-0.13441826696590398
IL205,-0.18661842458113556
IL206,0.13317902222928082
IL207,0.20012225645937357
IL208,-0.17247009625657153
IL209,-0.05407123228346731
IL210,-0.07721867477553096
IL211,-0.097688422370421
IL212,0.3246668742355184
IL213,0.04313160439247195
IL214,-0.18181629140987732
IL215,-0.20739697652886338
IL216,-0.11062911882047881
IL217,0.1540383573392432
IL218,-0.12340908096775215
IL219,0.15184358641077214
IL220,-0.10256253144132649
IL221,-0.17652142318222477
IL222,0.2330675497194354
IL223,-0.21791913449926273
IL224,0.03516832130061222
IL225,0.07000081249379991
IL226,-0.12601571007514162
IL227,-0.11527667280421167
IL228,-0.16695388021364088
IL229,-0.07720684073654974
IL230,0.0634546752536272
IL231,-0.10130665730765163
IL232,0.003736008690096836
IL233,0.0006474056047980582
IL234,-0.11444923303105096
IL235,0.04892309362479589
IL236,0.18896726525536903
IL237,-0.1906451363234198
IL238,-0.11302506550412318
IL239,0.10558335847272945
IL240,-0.27967155738856736
IL241,0.09939543877790907
IL243,-0.048661631152471505
IL244,-0.0029098894330286474
IL245,-0.08388485119381443
IL246,-0.1007444052399834
IL247,-0.09629834953806135
IL248,-0.08090851680102279
IL249,0.4021810991534041
IL250,0.15198066319714476
IL251,-0.0706914603713894
IL252,-0.3021884896285379
IL253,-0.07064762429638914
IL254,-0.05480334541103225
IL255,0.01723375424602472
IL256,0.14864309205554663
IL257,0.30716527185391646
IL258,0.0029263493933170126
IL259,0.13799406803842687
IL260,-0.15069236371384986
IL261,0.34900020141472105
IL262,-0.009475326162643067
IL263,-0.22158961109848455
IL264,-0.021501219245358357
IL265,0.025272291787526855
IL266,0.1371956807081785
IL267,0.0037597368635379973
IL268,0.19550144454685514
IL269,-0.26220172409787296
IL270,-0.19550810574635147
IL271,-0.12401644781342672
IL272,-0.22675176286857499
IL273,0.06676331866929529
IL274,-0.24252979825773477
IL275,-0.12026232206343541
IL276,-0.2057378496406195
IL277,-0.12456509187012649
IL278,-0.11722983254344983
IL279,-0.1398788349434218
IL280,-0.188055306053957
IL281,-0.021959024848969454
IL282,-0.2664732840759389
IL283,0.37309996097679676
IL284,-0.1834870883823024
IL285,-0.005582973690647466
IL286,-0.2337122636227745
IL287,0.19614943537801977
IL288,-0.09391053029944228
IL289,0.1709226462826836
IL290,-0.2349577380849004
IL291,-0.2500083436727872
IL292,-0.1783601356664898
IL293,0.023540685155353562
IL294,0.09133031102956829
IL295,-0.00043298268094125043
IL296,-0.23416529791807322
IL297,0.14026015338342873
IL298,-0.19109876426217987
IL299,0.13788109018744021
IL300,0.07824589747604252
IL301,-0.1235391917816975
IL302,-0.3071063003243633
IL303,-0.1859405053353493
IL304,-0.2903178774830911
IL305,0.0873206578886558
IL306,-0.13095675132007722
IL307,-0.07901120812479752
IL308,0.07567271988006771
IL309,0.3039263822419098
