,Height_rate
IL401,0.2368174508134647
IL402,0.2189904593036353
IL403,0.19413492291147239
IL404,0.18916347259626148
IL405,0.24732517003471605
IL406,0.2409986864897137
IL407,0.2663065872195153
IL408,0.29566351584522066
IL409,0.2921646987459119
IL410,0.23549437767404574
IL411,0.28959698715238513
IL412,0.192993605091484
IL413,0.27735125599586924
IL414,0.23757014120963654
IL415,0.252923581367772
IL416,0.2350123714680615
IL417,0.43444278154402277
IL418,0.2746334234510942
IL419,0.24080777406756879
IL420,0.21570138115861193
IL421,0.28526726310525197
IL422,0.23184877847548507
IL423,0.2499930091679759
IL424,0.2710604555204175
IL425,0.21255304924777282
IL426,0.21982151599071256
IL427,0.23958163012329817
IL428,0.24088747056238322
IL429,0.2555631674350686
IL430,0.2122426969198325
IL431,0.19173222228382267
IL432,0.21668809324417593
IL433,0.2012468178183367
IL434,0.23478488633007427
IL435,0.23997329888262936
IL436,0.22667142535619736
IL437,0.19904302160630624
IL438,0.18451778253833723
IL439,0.25124991279450837
IL440,0.31677946115581895
IL441,0.32397246706174404
IL442,0.24987881070479231
IL443,0.22999095757238752
IL444,0.22725750576627898
IL445,0.23109119300049358
IL446,0.24622079550304488
IL447,0.23883049972504589
IL448,0.19617853946321406
IL449,0.2115584392000088
IL450,0.1879773446948673
IL451,0.22510446319851418
IL452,0.27013099078236047
IL453,0.2458173327742838
IL454,0.22451699530501396
IL455,0.2434603382209973
IL456,0.21987338073229665
IL457,0.23313180407532497
IL458,0.3087636340019967
IL459,0.219210514957957
IL460,0.29431506178216116
IL461,0.21531237852111812
IL462,0.25248047164387327
IL463,0.22845458890707224
IL464,0.28377486685484243
IL465,0.27374909074924775
IL466,0.2680097452845281
IL467,0.21288229557584906
IL468,0.22389532799025752
IL469,0.10413743612763209
IL470,0.1967839318047448
IL471,0.22424908865290955
IL472,0.2664005660909366
IL473,0.2689646338901428
IL474,0.23050203616308992
IL475,0.21375305713328702
IL476,0.1799105002582062
IL477,0.22774038530032534
IL479,0.21959705273295702
IL480,0.2426939593098775
IL481,0.18688915956367705
IL482,0.1920417277873785
IL483,0.24540456756534085
IL484,0.1432711599030942
IL485,0.2335379915656539
IL486,0.2257906193847782
IL487,0.232253153784521
IL488,0.20898883853382594
IL489,0.17772728716634162
IL490,0.2255593861844531
IL491,0.36967189201779826
IL492,0.25674989438619583
IL493,0.20195664504005198
IL494,0.09430728048781764
IL495,0.23792224736445294
IL496,0.16851976456632906
IL497,0.3295711242292416
IL498,0.17485121701263473
IL500,0.15600383713797755
IL502,0.06427141727999389
IL503,0.1510052341344698
IL504,0.17301869906817147
IL505,0.15467172900796483
IL506,0.17188389858805814
IL507,0.2785658510964455
IL508,0.2431899063771456
IL511,0.16822625716454803
IL512,0.16948734240183097
IL513,0.17916640591303112
IL514,0.15262251979802882
IL515,0.18300504045023636
IL516,0.11721411639974691
IL517,0.1673501568266768
IL518,0.10760547474094409
IL519,0.12724335316363802
IL520,0.16256030028472915
IL521,0.19507883208385848
IL522,0.1312300140650653
IL523,0.1404985680880032
IL524,0.21505506451771245
IL525,0.20571024948327216
IL526,0.19340992839074017
IL527,0.14001887234781582
IL528,0.15468290324555062
IL529,0.16141301362500254
IL530,0.1821029058687697
IL531,0.16190846206170337
IL532,0.2223351765716206
IL533,0.21137306469077882
IL535,0.11425585925696854
IL536,0.14112843873210887
IL537,0.17708565566815554
IL538,0.19381984939639021
IL539,0.2039403288550415
IL540,0.1322578803682285
IL541,0.1690320353936689
IL542,0.17667343809022404
IL543,0.15909299757291082
IL544,0.13906867543247875
IL545,0.18549400446253445
IL546,0.16262011000882098
IL547,0.19836040238922448
IL548,0.1238462578967255
IL549,0.15058050628471803
IL550,0.17840467567980994
IL551,0.23362297968080967
IL552,0.20684377291045486
IL553,0.1162449033612516
IL554,0.20584876893265167
IL555,0.16723325200006461
IL556,0.2315819680590537
IL557,0.14907945236257297
IL558,0.18500294367456066
IL559,0.1941741792150397
IL560,0.19397528449845083
IL561,0.20104141422018307
IL562,0.21691652332634398
IL563,0.15779614845632994
IL564,0.2856461345894198
IL565,0.22559929279066537
IL566,0.1994560691331826
IL567,0.17112097903072848
IL568,0.13159088428683283
IL569,0.17125819745175486
IL570,0.13917418305570228
IL571,0.2159602571637446
IL572,0.22843895489718347
IL573,0.2444996991069984
IL574,0.20851538203043143
IL575,0.28643034400613915
IL577,0.2232405288506239
IL578,0.20643186959151874
IL579,0.226773404860059
IL580,0.17887968301206075
IL581,0.20797665068139232
IL582,0.2232403358847795
IL583,0.15475078357371505
IL584,0.20081954941470648
IL585,0.14140591338487793
IL586,0.2082428458719386
IL587,0.19134550726242822
IL588,0.17142933638814753
IL589,0.1998573230416863
IL590,0.15124124264251745
IL591,0.15190609558772022
IL592,0.17298195446108017
IL593,0.1843813444499128
IL594,0.17542376179684857
IL595,0.16489493443405628
IL596,0.19723579862566037
IL597,0.24214927155036384
IL598,0.15620836877956057
IL599,0.17372995210071132
IL600,0.22461601476453114
IL601,0.18942719279874967
IL602,0.16715398130747566
IL603,0.1758034212558946
IL604,0.15610221844694605
IL605,0.23194962301786162
IL606,0.14743051394155482
IL607,0.236726546798148
IL608,0.16606262946836875
IL609,0.16317635645484968
IL610,0.18308772778712804
IL611,0.17058219167299707
IL612,0.2095444055077816
IL613,0.16958102008272946
IL614,0.21094427970195312
IL615,0.16546308808828405
IL616,0.1383858966732167
IL617,0.15227307955089492
IL618,0.2074418571238245
IL619,0.22601803802539036
IL620,0.14204186417638756
IL621,0.16782288661528919
IL622,0.1433386733528495
IL623,0.19357863691800117
IL624,0.15960252857117313
IL625,0.1629008130053637
IL626,0.188654503268253
IL627,0.1765458538717912
IL628,0.16475178255319936
IL629,0.20892724143512145
IL630,0.16245829682579688
IL631,0.16863948000631387
IL632,0.19758142713840088
IL633,0.18810969162563385
IL634,0.1847359461294928
IL635,0.16168870123726686
IL636,0.17718159083192092
IL637,0.24125011082171052
IL638,0.21653234684559938
IL639,0.18779392256787847
IL640,0.2581803945683986
IL641,0.17404063801604291
IL642,0.22083648454911584
IL643,0.182659057039075
IL644,0.25252179556485477
IL645,0.1864435689738635
IL646,0.1750893156001677
IL647,0.21372607414672068
IL648,0.1919857581182976
IL649,0.17812137276978574
IL650,0.19775877416779222
IL651,0.20529170785782855
IL652,0.21951700150686512
IL653,0.19050441451299227
IL654,0.2074633280248661
IL655,0.17335921218050238
IL656,0.15568726653205123
IL657,0.1563074344376426
IL658,0.15287128868352148
IL659,0.19197999002298802
IL660,0.20313514224855345
IL661,0.17322014667619218
IL662,0.17047239877464643
IL664,0.1374875761585064
IL665,0.16754306567876398
IL667,0.17118225511654087
IL668,0.1491199064037334
IL669,0.23890596428389954
IL670,0.18078809736161006
IL671,0.18604964863628792
IL672,0.1263524140853695
IL673,0.15469574230711916
IL674,0.12966019760090616
IL675,0.17314195587232847
IL676,0.18142600589466676
IL677,0.20967078016814006
IL679,0.21078355837947177
IL680,0.14150144304066356
IL681,0.16328419477481154
IL682,0.16888568302907112
IL683,0.20441643253113387
IL684,0.1685654956648613
