,Height
IL401,3.705565714285714
IL402,3.6318585714285714
IL404,3.579487142857143
IL405,3.5690057142857143
IL407,3.197355714285714
IL408,3.3481114285714284
IL409,3.380622857142857
IL410,3.599342857142857
IL411,3.3765071428571427
IL412,3.2104642857142855
IL413,3.103947142857143
IL416,3.4867914285714288
IL417,3.1589285714285715
IL418,3.2417014285714285
IL419,3.3547114285714286
IL420,3.56778
IL421,3.3889157142857145
IL422,3.5847285714285713
IL423,3.401672857142857
IL424,2.60744
IL425,3.0477785714285712
IL426,3.5882585714285713
IL427,3.3966814285714286
IL428,3.68275
IL430,3.4436542857142856
IL431,3.5609542857142857
IL432,3.63532
IL433,3.6015214285714285
IL434,3.9707514285714285
IL435,3.7905114285714285
IL436,3.885442857142857
IL439,4.116797142857143
IL440,3.3535028571428573
IL442,3.557702857142857
IL445,3.5337442857142856
IL446,3.156682857142857
IL448,3.8302585714285713
IL450,3.408865714285714
IL451,3.593094285714286
IL452,3.3873185714285716
IL453,3.72936
IL454,3.853002857142857
IL455,3.998251428571429
IL456,3.62294
IL457,3.66736
IL458,3.0295771428571427
IL459,3.5702157142857143
IL460,3.08382
IL462,3.2870814285714287
IL463,4.00078
IL465,3.111347142857143
IL466,2.3790585714285712
IL467,3.754132857142857
IL468,4.140142857142857
IL470,4.111312857142857
IL471,4.042758571428571
IL472,3.4839714285714285
IL473,2.9867142857142857
IL474,4.044464285714286
IL475,3.8342
IL476,3.8751814285714286
IL479,2.900667142857143
IL481,3.521387142857143
IL482,3.9425114285714287
IL483,3.044704285714286
IL484,3.626477142857143
IL485,3.19042
IL486,3.654757142857143
IL487,4.127058571428571
IL488,3.71838
IL489,3.74181
IL490,3.560095714285714
IL491,4.004417142857143
IL492,4.188962857142857
IL493,3.9468785714285715
IL494,3.7412085714285714
IL495,3.33681
IL496,3.7906057142857144
IL497,3.2120314285714286
IL498,2.9805614285714284
IL503,4.149175714285715
IL505,4.106655714285714
IL506,3.5502142857142855
IL507,2.863742857142857
IL511,2.7372985714285716
IL512,3.6410614285714287
IL514,4.023427142857143
IL515,3.446825714285714
IL516,4.466047142857143
IL517,3.7867014285714284
IL518,3.7369614285714285
IL521,3.8584
IL522,3.8331314285714284
IL523,3.717772857142857
IL524,3.71287
IL525,4.074124285714285
IL526,3.612435714285714
IL528,3.589377142857143
IL529,3.3993785714285716
IL530,3.3581371428571427
IL532,3.66005
IL533,3.2398085714285716
IL535,3.6905342857142855
IL536,3.7029042857142858
IL537,3.63626
IL538,3.800607142857143
IL539,3.362965714285714
IL541,3.243207142857143
IL542,3.77296
IL543,3.85797
IL544,3.2745128571428572
IL545,3.272465714285714
IL546,3.484887142857143
IL547,3.6973314285714287
IL548,3.8281757142857145
IL549,3.5415614285714287
IL550,3.73497
IL551,3.1052185714285714
IL552,4.171815714285715
IL553,4.291421428571429
IL554,3.6891128571428573
IL555,3.742272857142857
IL557,3.6122657142857144
IL559,3.166047142857143
IL560,3.671197142857143
IL561,4.382171428571429
IL562,4.476458571428571
IL563,3.4666657142857145
IL564,4.241627142857143
IL566,4.150494285714286
IL567,3.901535714285714
IL568,3.665764285714286
IL572,4.2841257142857145
IL573,4.40048
IL575,4.6102
IL576,4.506404285714286
IL578,4.587817142857143
IL579,4.296552857142857
IL580,4.856822857142857
IL581,4.361781428571429
IL582,4.989542857142857
IL583,4.35443
IL584,4.415078571428571
IL585,4.643111428571428
IL586,4.181702857142857
IL587,4.934748571428571
IL589,4.7173557142857145
IL590,5.634854285714286
IL591,4.5531628571428575
IL592,4.459281428571429
IL593,5.5517071428571425
IL594,5.257461428571428
IL595,5.0179157142857145
IL596,4.972232857142857
IL597,4.85227
IL599,3.9022942857142855
IL600,3.87164
