,acc,height,coordinates
0,IL401,12.383522394264528,"(887, 80)"
1,IL401,16.321769954278665,"(314, 92)"
2,IL401,17.311620700547323,"(512, 93)"
3,IL401,2.2785858746766756,"(707, 94)"
4,IL401,13.52017791447767,"(129, 97)"
5,IL401,13.464098218506525,"(892, 191)"
6,IL401,12.013511247811003,"(710, 195)"
7,IL401,15.590028660746327,"(312, 196)"
8,IL401,12.926546073681653,"(518, 196)"
9,IL401,13.116441801902305,"(120, 201)"
10,IL401,11.663461496567223,"(702, 286)"
11,IL401,14.262864481641852,"(509, 295)"
12,IL401,14.10799691301019,"(887, 297)"
13,IL401,13.720577390029845,"(123, 298)"
14,IL401,15.465650551293592,"(316, 302)"
15,IL401,14.028188585758947,"(888, 395)"
16,IL401,15.89012816323389,"(313, 398)"
17,IL401,15.316993834875682,"(514, 399)"
18,IL401,12.192910192577617,"(713, 399)"
19,IL401,14.964357018955283,"(124, 401)"
20,IL401,13.428457227404884,"(888, 503)"
21,IL401,16.897690352288617,"(513, 509)"
22,IL401,8.552814730398069,"(713, 511)"
23,IL401,16.465849556268715,"(314, 512)"
24,IL401,14.328107204705148,"(122, 513)"
25,IL401,11.465849556268715,"(715, 622)"
26,IL401,12.127317622807631,"(886, 623)"
27,IL401,14.294904282636875,"(125, 628)"
28,IL402,14.39177272037428,"(895, 80)"
29,IL402,19.894937264346552,"(513, 81)"
30,IL402,21.996429801659982,"(315, 82)"
31,IL402,19.174738259371427,"(118, 84)"
32,IL402,19.22210144345103,"(716, 85)"
33,IL402,17.86877887423904,"(892, 186)"
34,IL402,19.800409901162475,"(513, 192)"
35,IL402,18.09493726434655,"(710, 193)"
36,IL402,20.306479552903763,"(317, 196)"
37,IL402,18.610559154893817,"(125, 197)"
38,IL402,17.836429801659985,"(709, 295)"
39,IL402,19.36793099638243,"(893, 295)"
40,IL402,21.831056667331627,"(315, 299)"
41,IL402,20.973743234495803,"(515, 299)"
42,IL402,14.0879720902172,"(127, 302)"
43,IL402,18.06210144345103,"(514, 415)"
44,IL402,15.88837010016745,"(120, 416)"
45,IL402,16.896453990599525,"(891, 416)"
46,IL402,16.914041741958492,"(313, 418)"
47,IL402,19.629663632505757,"(707, 422)"
48,IL402,19.06468850812765,"(122, 519)"
49,IL402,16.875036766834114,"(318, 519)"
50,IL402,18.277822836485857,"(514, 519)"
51,IL402,17.898121343948542,"(703, 522)"
52,IL402,14.972328194312109,"(890, 523)"
53,IL402,14.056498687997529,"(890, 626)"
54,IL402,15.845982040465955,"(122, 627)"
55,IL402,17.143352493625883,"(704, 630)"
56,IL404,17.488964682844845,"(886, 40)"
57,IL404,18.39539721973192,"(295, 61)"
58,IL404,18.53197339423352,"(106, 66)"
59,IL404,18.445609037672376,"(888, 140)"
60,IL404,20.317847843642525,"(703, 150)"
61,IL404,21.56799709737387,"(503, 152)"
62,IL404,23.275061773990785,"(303, 156)"
63,IL404,1.339171696396285,"(114, 162)"
64,IL404,19.25973358595711,"(896, 252)"
65,IL404,22.096952321254467,"(704, 258)"
66,IL404,21.410584162050487,"(312, 261)"
67,IL404,21.668096599861432,"(512, 267)"
68,IL404,22.89821543245008,"(121, 270)"
69,IL404,6.912546642641165,"(718, 352)"
70,IL404,17.523622658094855,"(905, 356)"
71,IL404,16.45347211273531,"(518, 364)"
72,IL404,22.605211027722127,"(324, 366)"
73,IL404,22.770982172000735,"(130, 369)"
74,IL404,15.866934356634015,"(900, 474)"
75,IL404,1.8089921222494931,"(715, 479)"
76,IL404,22.290186152100237,"(518, 480)"
77,IL404,21.815360281453472,"(318, 483)"
78,IL404,23.433867744140038,"(125, 484)"
79,IL404,3.0419786549501104,"(904, 593)"
80,IL404,22.224514510309195,"(521, 598)"
81,IL404,20.606007047622626,"(723, 599)"
82,IL404,11.495360281453472,"(320, 602)"
83,IL404,23.235658788916158,"(134, 607)"
84,IL405,20.75113516784032,"(916, 48)"
85,IL405,19.774956277164566,"(727, 53)"
86,IL405,0.20304057918329832,"(332, 61)"
87,IL405,22.45210610477701,"(135, 65)"
88,IL405,20.042842717652068,"(917, 138)"
89,IL405,6.729099728774798,"(333, 144)"
90,IL405,20.585927294766496,"(538, 145)"
91,IL405,18.908912369393363,"(728, 148)"
92,IL405,22.95149943406998,"(144, 150)"
93,IL405,19.4813277759362,"(916, 241)"
94,IL405,18.179957145512763,"(732, 245)"
95,IL405,20.314484508696843,"(531, 247)"
96,IL405,21.60523077735356,"(336, 252)"
97,IL405,22.063141225114755,"(142, 256)"
98,IL405,17.49756908581127,"(737, 359)"
99,IL405,20.5524944589456,"(533, 364)"
100,IL405,19.24854387692746,"(920, 366)"
101,IL405,21.66154918531376,"(140, 368)"
102,IL405,21.848613861930676,"(340, 370)"
103,IL405,16.423937245015253,"(921, 480)"
104,IL405,18.372792966408287,"(527, 485)"
105,IL405,18.615977046010276,"(730, 486)"
106,IL405,21.752096448995353,"(137, 487)"
107,IL405,22.53896212063714,"(336, 488)"
108,IL405,17.97338998133366,"(917, 594)"
109,IL405,19.949111374368485,"(532, 597)"
110,IL405,15.382146200239134,"(729, 600)"
111,IL405,0.43090241914460403,"(139, 602)"
112,IL405,21.011001921632168,"(332, 604)"
113,IL407,19.469172198220082,"(913, 52)"
114,IL407,18.02150278107624,"(131, 59)"
115,IL407,15.80677214359832,"(516, 160)"
116,IL407,15.257681463075357,"(909, 161)"
117,IL407,18.878419876272527,"(320, 162)"
118,IL407,17.526208429025797,"(718, 167)"
119,IL407,15.93573330910835,"(127, 168)"
120,IL407,16.524191020551136,"(518, 270)"
121,IL407,16.72222775478039,"(909, 270)"
122,IL407,18.576927338959095,"(131, 271)"
123,IL407,18.67045967726755,"(324, 271)"
124,IL407,4.998185910963937,"(716, 272)"
125,IL407,17.65135519965561,"(521, 371)"
126,IL407,18.933306855346494,"(906, 372)"
127,IL407,19.834638781745166,"(313, 373)"
128,IL407,19.746877587715314,"(131, 375)"
129,IL407,18.813743259357107,"(711, 375)"
130,IL407,17.52299699070039,"(520, 482)"
131,IL407,16.025040419908,"(718, 486)"
132,IL407,2.1879006414606716,"(325, 487)"
