acc,height0622,coordinates
IL402,4.431832568187955,"(513, 81)"
IL402,2.143301708970529,"(716, 85)"
IL402,3.987703346455209,"(710, 193)"
IL402,5.267859911937956,"(317, 196)"
IL402,15.526307864903384,"(125, 197)"
IL402,17.076799107959545,"(709, 295)"
IL402,23.56948430948149,"(315, 299)"
IL402,25.36809127465562,"(515, 299)"
IL402,1.4221278109540183,"(127, 302)"
IL402,26.760529085600886,"(514, 415)"
IL402,16.714225504170294,"(120, 416)"
IL402,22.924907195053628,"(313, 418)"
IL402,24.29067833933223,"(707, 422)"
IL402,18.167672797798097,"(122, 519)"
IL402,26.17326540400885,"(318, 519)"
IL402,27.400728090576017,"(514, 519)"
IL402,27.666026835703875,"(703, 522)"
IL402,13.389977355832745,"(122, 627)"
IL402,4.470879631303607,"(309, 629)"
IL402,20.23970956695794,"(704, 630)"
IL404,29.634488194969272,"(886, 40)"
IL404,3.718167990685505,"(490, 53)"
IL404,23.008785834313898,"(295, 61)"
IL404,29.822271932055912,"(106, 66)"
IL404,27.938362244343544,"(888, 140)"
IL404,33.14837617307453,"(703, 150)"
IL404,33.62618711834816,"(503, 152)"
IL404,4.471845264581743,"(303, 156)"
IL404,0.0238577957979178,"(114, 162)"
IL404,26.9443551821388,"(896, 252)"
IL404,35.75991846163174,"(312, 261)"
IL404,34.73993689999907,"(121, 270)"
IL404,17.90419706859692,"(718, 352)"
IL404,24.600595217529253,"(905, 356)"
IL404,3.109172192975029,"(324, 366)"
IL404,34.988733988370775,"(130, 369)"
IL404,22.122565375513837,"(900, 474)"
IL404,2.015543824349561,"(715, 479)"
IL404,4.409470700437716,"(518, 480)"
IL404,2.254358708118887,"(318, 483)"
IL404,37.12572724359502,"(125, 484)"
IL404,0.3785019586669502,"(723, 599)"
IL404,1.208695390385107,"(320, 602)"
IL404,36.51962741520495,"(134, 607)"
IL405,13.129565053483232,"(916, 48)"
IL405,5.683547677776664,"(727, 53)"
IL405,0.9379871725989392,"(332, 61)"
IL405,37.72431984134094,"(135, 65)"
IL405,23.544515714542577,"(333, 144)"
IL405,30.860933624990334,"(538, 145)"
IL405,28.19386894837342,"(728, 148)"
IL405,1.9466702153504327,"(144, 150)"
IL405,18.651102208637347,"(916, 241)"
IL405,29.26371969464208,"(732, 245)"
IL405,35.970187356333625,"(531, 247)"
IL405,38.011978401109744,"(336, 252)"
IL405,38.07633824785901,"(142, 256)"
IL405,26.818545565288844,"(737, 359)"
IL405,36.01456546578636,"(533, 364)"
IL405,18.363888859268265,"(920, 366)"
IL405,36.20347883456952,"(140, 368)"
IL405,40.79645601305004,"(340, 370)"
IL405,13.556776943608511,"(921, 480)"
IL405,1.6326678791110725,"(730, 486)"
IL405,35.3349218587266,"(137, 487)"
IL405,17.623837350068143,"(917, 594)"
IL405,2.0909556896367274,"(729, 600)"
IL405,0.1329151748277679,"(332, 604)"
IL407,2.5035084188059686,"(321, 55)"
IL407,38.03700242647152,"(131, 59)"
IL407,46.163494429973326,"(516, 160)"
IL407,32.58887393051039,"(909, 161)"
IL407,55.817623783207154,"(320, 162)"
IL407,3.962890693528889,"(718, 167)"
IL407,35.61563458663908,"(127, 168)"
IL407,0.3351132496054196,"(518, 270)"
IL407,54.9063925967027,"(131, 271)"
IL407,59.06538497723701,"(324, 271)"
IL407,4.370567312980967,"(716, 272)"
IL407,30.465722937119125,"(521, 371)"
IL407,1.0651844531399348,"(906, 372)"
IL407,42.80906656927681,"(313, 373)"
IL407,56.52029111352268,"(131, 375)"
IL407,60.62200189265989,"(711, 375)"
IL407,1.818658021282408,"(718, 486)"
IL407,18.587972041913623,"(325, 487)"
IL407,2.416018218796201,"(127, 488)"
IL407,34.694933545869254,"(904, 490)"
IL407,1.6847737703867196,"(318, 600)"
IL407,43.62039198040348,"(125, 604)"
IL408,10.07755879520652,"(720, 52)"
IL408,28.63550903466423,"(902, 53)"
IL408,4.613471167753089,"(316, 57)"
IL408,33.38698118517315,"(133, 61)"
IL408,22.340404218523556,"(904, 166)"
IL408,2.4299900069694704,"(321, 167)"
IL408,35.40206745594694,"(516, 167)"
IL408,36.20993133868432,"(126, 169)"
IL408,34.48306248082256,"(714, 170)"
IL408,31.628137107688232,"(711, 281)"
IL408,33.62634606291211,"(315, 288)"
IL408,24.363846027600573,"(906, 288)"
IL408,34.97609850551836,"(129, 293)"
IL408,30.35564436077976,"(125, 398)"
IL408,32.359480391270324,"(318, 400)"
IL408,31.310525167389727,"(510, 401)"
IL408,24.67127180220095,"(903, 404)"
IL408,2.6017099379254187,"(708, 405)"
IL408,0.9329616698802824,"(713, 510)"
IL408,26.985999589695563,"(902, 512)"
IL408,3.2885594671898177,"(314, 515)"
IL408,26.254141057405292,"(122, 516)"
IL408,25.502253954180667,"(903, 611)"
IL408,30.756939547104054,"(123, 613)"
IL408,0.9000939038114906,"(515, 614)"
IL408,1.6582374143767007,"(318, 616)"
IL408,0.2491613465940787,"(706, 618)"
IL409,54.71402570421451,"(321, 54)"
IL409,55.34330567533666,"(125, 56)"
IL409,61.82198188812837,"(126, 156)"
IL409,37.77696549295942,"(707, 158)"
IL409,47.54801839218506,"(904, 158)"
IL409,57.32741325415345,"(321, 159)"
IL409,46.3278112641037,"(515, 159)"
IL409,55.64582121435246,"(523, 270)"
IL409,12.516590445121684,"(905, 272)"
IL409,14.16562220937733,"(318, 273)"
IL409,60.776931861332834,"(127, 274)"
IL409,37.24323414967584,"(319, 384)"
IL409,55.01015070950867,"(129, 388)"
IL409,36.98910479644201,"(709, 388)"
IL409,50.61467266101866,"(907, 389)"
IL409,0.3047142045983566,"(319, 493)"
IL409,38.88967806851516,"(125, 496)"
IL409,43.590498003715865,"(909, 497)"
IL409,0.2044853440351657,"(125, 605)"
IL410,31.983428227387776,"(705, 545)"
IL410,68.82618418745058,"(124, 89)"
IL410,37.25153114396754,"(712, 89)"
IL410,67.72013971257611,"(897, 92)"
IL410,58.25150848006428,"(512, 198)"
IL410,41.65718775753783,"(708, 199)"
IL410,47.930911465138905,"(317, 200)"
IL410,69.63286268992823,"(126, 201)"
IL410,45.47441256847498,"(903, 202)"
IL410,64.386657228556,"(511, 311)"
IL410,59.30315391144397,"(120, 313)"
IL410,59.06980971422059,"(314, 314)"
IL410,6.604020576393617,"(904, 315)"
IL410,61.86485695378807,"(710, 318)"
IL410,4.4088505369033735,"(902, 413)"
IL410,67.41241048786463,"(711, 416)"
IL410,53.16971999978527,"(119, 418)"
IL410,50.81002703143817,"(899, 505)"
IL410,67.9171015357209,"(120, 506)"
IL410,66.52670884952501,"(116, 607)"
IL410,53.39349911698408,"(896, 610)"
IL411,9.72737669826596,"(713, 478)"
IL411,23.186606674496016,"(878, 302)"
IL411,26.323365635751944,"(900, 103)"
IL411,38.465522627749415,"(118, 105)"
IL411,23.183891033043714,"(708, 107)"
IL411,30.711256872636824,"(515, 206)"
IL411,3.6824011512437904,"(315, 207)"
IL411,34.0816632783386,"(119, 209)"
IL411,22.721172274986365,"(900, 210)"
