,Height
IL401,1.7759942857142856
IL402,1.7932314285714286
IL404,1.4582314285714286
IL405,1.3608071428571429
IL407,1.0729357142857143
IL408,1.4929942857142857
IL409,1.2789357142857143
IL410,1.5757342857142858
IL411,1.3757257142857142
IL412,1.3746514285714286
IL413,1.0358657142857144
IL416,1.2600671428571428
IL417,1.0742085714285714
IL418,1.1663342857142858
IL419,1.2619085714285714
IL420,1.51749
IL421,1.3494542857142857
IL422,1.62533
IL423,1.2434557142857143
IL424,1.1329328571428572
IL425,1.2225285714285714
IL426,1.49615
IL427,1.3982828571428572
IL428,1.58693
IL430,1.2731771428571428
IL431,1.3656014285714286
IL432,1.5403671428571428
IL433,0.91639
IL434,1.6839842857142857
IL435,1.5393357142857143
IL436,1.7442071428571428
IL439,1.6022685714285714
IL440,1.0077557142857143
IL442,1.3484528571428571
IL445,1.55805
IL446,1.4348542857142856
IL448,1.6596328571428571
IL450,1.617762857142857
IL451,1.6157985714285714
IL452,1.4008957142857144
IL453,1.66305
IL454,1.7528728571428571
IL455,1.5226714285714287
IL456,1.5946914285714286
IL457,1.48324
IL458,1.2090842857142856
IL459,1.4327842857142856
IL460,1.0213128571428571
IL462,1.1844514285714285
IL463,1.38021
IL465,0.8125985714285714
IL466,0.7286242857142857
IL467,0.9705242857142857
IL468,1.517737142857143
IL470,1.3207428571428572
IL471,1.4588814285714287
IL472,1.3932128571428573
IL473,1.19042
IL474,1.5507514285714286
IL475,1.24813
IL476,1.6123885714285715
IL479,1.2629457142857143
IL481,1.4728642857142857
IL482,1.51422
IL483,1.3171842857142857
IL484,1.3524285714285715
IL485,1.0901357142857142
IL486,1.55135
IL487,1.2150485714285715
IL488,1.4257685714285715
IL489,1.4885742857142856
IL490,1.3236157142857143
IL491,1.4605057142857143
IL492,1.3761714285714286
IL493,1.4832342857142857
IL494,1.60484
IL495,1.5279
IL496,1.5797457142857143
IL497,0.93216
IL498,1.2851842857142857
IL503,1.9924185714285714
IL505,1.4423828571428572
IL506,0.9503485714285714
IL507,1.6025342857142857
IL511,1.4067014285714285
IL512,1.3159228571428572
IL514,1.7549142857142856
IL515,1.5486514285714286
IL516,1.5972114285714285
IL517,1.8509771428571429
IL518,1.4810771428571428
