,acc,height,coordinates
0,IL401,0.06598675395257869,"(314, 92)"
1,IL401,8.694082763054627,"(129, 97)"
2,IL401,0.7902935914331959,"(710, 195)"
3,IL401,2.0967674970115233,"(312, 196)"
4,IL401,17.60601535867072,"(120, 201)"
5,IL401,4.254729614117588,"(702, 286)"
6,IL401,12.396669889275673,"(123, 298)"
7,IL401,15.136353608732168,"(313, 398)"
8,IL401,20.67342937453202,"(514, 399)"
9,IL401,9.955618118196261,"(713, 399)"
10,IL401,17.600731513925535,"(124, 401)"
11,IL401,20.361437708754064,"(513, 509)"
12,IL401,6.856583419905316,"(713, 511)"
13,IL401,16.523819268731398,"(314, 512)"
14,IL401,17.702288844676765,"(122, 513)"
15,IL401,5.108140142390932,"(715, 622)"
16,IL401,0.9655570685605328,"(308, 626)"
17,IL401,12.593511932245566,"(125, 628)"
18,IL402,5.0459263554161975,"(118, 84)"
19,IL402,4.416917479300325,"(716, 85)"
20,IL402,3.2867744896877564,"(710, 193)"
21,IL402,3.438561358271242,"(317, 196)"
22,IL402,24.156405071687782,"(125, 197)"
23,IL402,27.366149629290724,"(709, 295)"
24,IL402,31.99221928103202,"(315, 299)"
25,IL402,32.80694564919123,"(515, 299)"
26,IL402,16.492222371171387,"(127, 302)"
27,IL402,32.396995400435,"(514, 415)"
28,IL402,19.138688324702557,"(120, 416)"
29,IL402,40.17365421164213,"(891, 416)"
30,IL402,26.897094902922568,"(313, 418)"
31,IL402,27.717990425310624,"(707, 422)"
32,IL402,24.104011573125444,"(122, 519)"
33,IL402,33.07162226610665,"(318, 519)"
34,IL402,34.038189430285755,"(514, 519)"
35,IL402,31.933281683985406,"(703, 522)"
36,IL402,47.094706843221076,"(890, 626)"
37,IL402,21.75399743873035,"(122, 627)"
38,IL402,5.337294444299243,"(309, 629)"
39,IL402,27.677066035569638,"(704, 630)"
40,IL404,30.00380806886482,"(886, 40)"
41,IL404,24.07687014312755,"(295, 61)"
42,IL404,28.332007622655816,"(106, 66)"
43,IL404,29.910559666525053,"(888, 140)"
44,IL404,32.610062154087245,"(703, 150)"
45,IL404,30.02876862174893,"(503, 152)"
46,IL404,5.917325835679284,"(303, 156)"
47,IL404,29.00349498990814,"(896, 252)"
48,IL404,0.5056916650882828,"(704, 258)"
49,IL404,30.578022353092216,"(312, 261)"
50,IL404,30.764020745410107,"(121, 270)"
51,IL404,16.69245021378874,"(718, 352)"
52,IL404,23.110609118663163,"(905, 356)"
53,IL404,6.235917270303892,"(324, 366)"
54,IL404,33.44726100830102,"(130, 369)"
55,IL404,19.55198154146086,"(900, 474)"
56,IL404,6.552350711301175,"(518, 480)"
57,IL404,34.986008335588494,"(125, 484)"
58,IL404,5.0248876858155,"(723, 599)"
59,IL404,33.99613180582853,"(134, 607)"
60,IL405,25.282350373515342,"(916, 48)"
61,IL405,2.9835352780328632,"(727, 53)"
62,IL405,35.593671809455095,"(135, 65)"
63,IL405,5.193887564250593,"(917, 138)"
64,IL405,18.51639472703731,"(333, 144)"
65,IL405,31.568733035495015,"(538, 145)"
66,IL405,27.14067333400248,"(728, 148)"
67,IL405,3.7983467790748513,"(144, 150)"
68,IL405,22.96494342246691,"(916, 241)"
69,IL405,28.30863353300746,"(732, 245)"
70,IL405,32.3343051747985,"(531, 247)"
71,IL405,34.851320100171634,"(336, 252)"
72,IL405,36.568932040470145,"(142, 256)"
73,IL405,26.914205672310935,"(737, 359)"
74,IL405,32.42624547330596,"(533, 364)"
75,IL405,23.51437709963607,"(920, 366)"
76,IL405,35.362165871315916,"(140, 368)"
77,IL405,34.44236487629104,"(340, 370)"
78,IL405,17.141918654261964,"(921, 480)"
79,IL405,35.50724049818159,"(137, 487)"
80,IL405,0.021070155626841114,"(336, 488)"
81,IL405,21.538976702072617,"(917, 594)"
82,IL405,0.016892239475115645,"(332, 604)"
83,IL407,3.2829381224801315,"(913, 52)"
84,IL407,36.302539277839024,"(131, 59)"
85,IL407,30.81276626788878,"(516, 160)"
86,IL407,24.807356667190657,"(909, 161)"
87,IL407,34.67485582012758,"(320, 162)"
88,IL407,3.1587810757392925,"(718, 167)"
89,IL407,31.62836677005087,"(127, 168)"
90,IL407,0.8556685079574731,"(518, 270)"
91,IL407,37.89401370381288,"(131, 271)"
92,IL407,35.74391054649574,"(324, 271)"
93,IL407,22.73259826529064,"(716, 272)"
94,IL407,33.36918417833654,"(521, 371)"
95,IL407,4.315115497351225,"(906, 372)"
96,IL407,33.97415930271465,"(313, 373)"
97,IL407,37.82833235069292,"(131, 375)"
98,IL407,33.30629860619724,"(711, 375)"
99,IL407,11.490217244784471,"(325, 487)"
100,IL407,5.4469894144510524,"(127, 488)"
101,IL407,27.92281325961824,"(904, 490)"
102,IL407,0.1772291887195836,"(318, 600)"
103,IL407,8.473888452492918,"(909, 602)"
104,IL407,33.005495684390084,"(125, 604)"
105,IL408,3.2187093935842084,"(720, 52)"
106,IL408,26.709599078221927,"(902, 53)"
107,IL408,2.05594806095446,"(316, 57)"
108,IL408,32.02171071930176,"(133, 61)"
109,IL408,23.733389629640484,"(904, 166)"
110,IL408,2.3753752448754204,"(321, 167)"
111,IL408,32.17582997739183,"(516, 167)"
112,IL408,28.863872533267614,"(126, 169)"
113,IL408,28.88055028508901,"(714, 170)"
114,IL408,25.912347390327152,"(711, 281)"
115,IL408,27.82299415649631,"(315, 288)"
116,IL408,23.02711997375681,"(906, 288)"
117,IL408,29.71047336370481,"(129, 293)"
118,IL408,27.1056281972867,"(125, 398)"
119,IL408,26.7780190321182,"(318, 400)"
120,IL408,25.64309365898387,"(510, 401)"
121,IL408,24.32678822079802,"(903, 404)"
122,IL408,21.230139165946348,"(902, 512)"
123,IL408,21.907481498963783,"(122, 516)"
124,IL408,25.285555720933985,"(903, 611)"
125,IL408,29.954711792925867,"(123, 613)"
126,IL408,0.4437599808987871,"(515, 614)"
127,IL408,0.1430686743018592,"(318, 616)"
128,IL409,36.440710070212006,"(321, 54)"
129,IL409,32.894448009238275,"(125, 56)"
130,IL409,34.43031980056893,"(126, 156)"
131,IL409,25.77777121314324,"(707, 158)"
132,IL409,28.6890904788835,"(904, 158)"
